Intent,Pattern,Response
prohibited_items,What items are prohibited in AF?,"Restriction Type: P
Details: Please check on the destination customs website; for any other restrictions and prohibitions
More Info: https://mof.gov.af/en/dg-customs
Last Updated: 2020-05-13 10:47:54"
prohibited_items,What items are prohibited in AL?,"Restriction Type: N
Details: Please check on the destination customs website; for any other restrictions and prohibitions
More Info: http://www.dogana.gov.al/
Last Updated: 2016-01-01 00:00:00"
prohibited_items,What items are prohibited in DZ?,"Restriction Type: N
Details: Please check on the destination customs website; for any other restrictions and prohibitions
More Info: https://www.douane.gov.dz/spip.php?article104
Last Updated: 2023-07-20 00:00:00"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Animals and animal products where there is an epizootic
More Info:  
Last Updated: 2020-05-27 15:25:56"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Books of national literary property; when they are counterfeit editions in a foreign country
More Info:  
Last Updated: 2020-05-27 15:54:12"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Boxes which having the same mark; form a single volume containing several goods
More Info:  
Last Updated: 2020-05-27 15:31:12"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Chlorofluorocarbon-CFCs materials
More Info:  
Last Updated: 2020-05-27 16:00:05"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Coffee imitations with coffee designation
More Info:  
Last Updated: 2020-05-27 15:46:15"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Counterfeit goods or imitation goods
More Info:  
Last Updated: 2020-05-27 15:54:50"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Distilled beverages containing essences or products considered harmful
More Info:  
Last Updated: 2020-05-27 15:29:34"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Food products not satisfying the conditions established in the law or having a poor state of preservation
More Info:  
Last Updated: 2020-05-27 16:04:28"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Food substances containing sacancia
More Info:  
Last Updated: 2020-05-27 16:08:38"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Goods produced or manufactured with copyright infringement
More Info:  
Last Updated: 2020-05-27 15:57:42"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Goods produced or produced with violation of industrial property rights
More Info:  
Last Updated: 2020-05-27 15:58:16"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Goods which may be confused with goods used by the defense; security and internal order bodies; by reason of their nature; characteristics; functions and similarity
More Info:  
Last Updated: 2020-05-27 15:57:11"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Imitations of national postage formulas
More Info:  
Last Updated: 2020-05-27 15:53:34"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Manufactured boxes used as packaging for products other than mineral oils
More Info:  
Last Updated: 2020-05-27 15:30:02"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Medicines and foodstuffs harmful to public health
More Info:  
Last Updated: 2020-05-27 16:01:08"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Plants and parts of plants from regions affected by phylloxera or other epiphyties
More Info:  
Last Updated: 2020-05-27 16:02:26"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Please check on the destination customs website; for any other restrictions and prohibitions
More Info: https://www.agt.minfin.gov.ao/PortalAGT/#!/servicos/aduaneiros/procedimentos-aduaneiros
Last Updated: 2020-05-13 10:41:01"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Pornographic texts; publications and objects
More Info:  
Last Updated: 2020-05-27 16:10:10"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Refined petroleum products on the subsidized market
More Info:  
Last Updated: 2020-05-27 16:05:08"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Sexual stimulus drink or pills; photos; books; prints; movies; drawings and prints
More Info:  
Last Updated: 2020-05-27 15:28:52"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Subversive propaganda material; for example: Books; DVDs and CDs containing music; pictures or other information
More Info:  
Last Updated: 2020-05-27 15:59:32"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Used batteries
More Info:  
Last Updated: 2020-05-27 15:27:53"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Used vehicle engines
More Info:  
Last Updated: 2020-05-27 16:01:56"
prohibited_items,What items are prohibited in AO?,"Restriction Type: P
Details: Used vehicle tires
More Info:  
Last Updated: 2020-05-27 16:03:43"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Animals; remains and animal products
More Info:  
Last Updated: 2020-05-27 15:26:26"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Banknotes and coins and securities payable to any currency
More Info:  
Last Updated: 2020-05-27 15:28:19"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Casters (roulettes) and other games prohibited by law
More Info:  
Last Updated: 2020-05-27 16:06:08"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Cigarettes and compositions for giving tobacco; perfumes or special tastes
More Info:  
Last Updated: 2020-05-27 15:33:20"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Denatured pure alcohol imported only according to the standards of the legislation in force
More Info:  
Last Updated: 2020-05-27 15:25:27"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Devices; electronic radios; transceivers and accessories
More Info:  
Last Updated: 2020-05-27 15:27:00"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Distillation still and respective parts
More Info:  
Last Updated: 2020-05-27 15:24:55"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Dogs; cats and other pets
More Info:  
Last Updated: 2020-05-27 15:32:45"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Electric cables
More Info:  
Last Updated: 2020-05-27 15:31:47"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Explosives and pyrotechnics
More Info:  
Last Updated: 2020-05-27 15:34:32"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Explosives used in the mining industry; Paper used for smoking in rolls and materials for cigarette butts
More Info:  
Last Updated: 2020-05-27 15:35:48"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Goods without country of origin label
More Info:  
Last Updated: 2020-05-27 15:58:59"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Medicine whose labels contain the active substances that compose it
More Info:  
Last Updated: 2020-05-27 16:00:33"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Pharmaceutical specialties which import requires authorization from the Ministry of Health
More Info:  
Last Updated: 2020-05-27 16:07:27"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Plants; roots; tubers; bulbs; branches; stakes; oils; buds; frios and seeds
More Info:  
Last Updated: 2020-05-27 16:02:54"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Playing cards
More Info:  
Last Updated: 2020-05-27 15:32:11"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Poison or poisonous substances and drugs; narcotics or preparations
More Info:  
Last Updated: 2020-05-27 16:09:10"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Postage stamps and tax stamps imported only by the state
More Info:  
Last Updated: 2020-05-27 16:11:10"
prohibited_items,What items are prohibited in AO?,"Restriction Type: R
Details: Rough; polished or cut diamonds
More Info:  
Last Updated: 2020-05-27 15:33:56"
